Ordem do indicador,Indicador,Localidade,Região,Valor,Q1,Mediana,Q3,IQR,Fator IQR,Limite inferior de Tukey,Limite superior de Tukey,MAD,Escore robusto,Limite do escore robusto,Sinalizada por Tukey,Sinalizada por MAD,Sinalizada,Concordância,Direção,Magnitude do escore robusto
2,Crescimento relativo (%),Tocantins,Norte,41.82603768239128,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,-0.1998854307040325,3.5,False,False,False,Não sinalizada,Não sinalizada,0.1998854307040325
2,Crescimento relativo (%),Pará,Norte,58.11156451959311,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,0.1470326152392208,3.5,False,False,False,Não sinalizada,Não sinalizada,0.1470326152392208
2,Crescimento relativo (%),Alagoas,Nordeste,57.909275059848994,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,0.14272339854694688,3.5,False,False,False,Não sinalizada,Não sinalizada,0.14272339854694688
2,Crescimento relativo (%),Maranhão,Nordeste,47.21742937343875,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,-0.085036762369871,3.5,False,False,False,Não sinalizada,Não sinalizada,0.085036762369871
2,Crescimento relativo (%),Amapá,Norte,52.934826609094586,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,0.036756551208670864,3.5,False,False,False,Não sinalizada,Não sinalizada,0.036756551208670864
2,Crescimento relativo (%),Espírito Santo,Sudeste,50.33907146583203,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,-0.018538823085927147,3.5,False,False,False,Não sinalizada,Não sinalizada,0.018538823085927147
2,Crescimento relativo (%),Mato Grosso do Sul,Centro-Oeste,51.2093476144109,17.70012591111046,51.2093476144109,77.57438313589995,59.87425722478949,1.5,-72.11125992607377,167.38576897308417,31.66286982382176,0.0,3.5,False,False,False,Não sinalizada,Não sinalizada,0.0
3,Urbanização 2022 (%),Goiás,Centro-Oeste,95.52185274376184,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,1.8811585541171343,3.5,False,False,False,Não sinalizada,Não sinalizada,1.8811585541171343
3,Urbanização 2022 (%),Rio de Janeiro,Sudeste,94.5863245851477,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,1.8410297031737555,3.5,False,False,False,Não sinalizada,Não sinalizada,1.8410297031737555
3,Urbanização 2022 (%),Distrito Federal,Centro-Oeste,91.84305627258648,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,1.723359054568654,3.5,False,False,False,Não sinalizada,Não sinalizada,1.723359054568654
3,Urbanização 2022 (%),São Paulo,Sudeste,87.50609965480473,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,1.5373282183395498,3.5,False,False,False,Não sinalizada,Não sinalizada,1.5373282183395498
3,Urbanização 2022 (%),Mato Grosso,Centro-Oeste,17.336692028240456,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,-1.47254131204724,3.5,False,False,False,Não sinalizada,Não sinalizada,1.47254131204724
3,Urbanização 2022 (%),Maranhão,Nordeste,20.45971381590456,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,-1.3385813936245323,3.5,False,False,False,Não sinalizada,Não sinalizada,1.3385813936245323
3,Urbanização 2022 (%),Sergipe,Nordeste,82.50530785562633,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,1.3228226186306387,3.5,False,False,False,Não sinalizada,Não sinalizada,1.3228226186306387
3,Urbanização 2022 (%),Tocantins,Norte,20.95090645757379,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,-1.3175120157329807,3.5,False,False,False,Não sinalizada,Não sinalizada,1.3175120157329807
3,Urbanização 2022 (%),Roraima,Norte,22.191505918007945,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,-1.264297336549036,3.5,False,False,False,Não sinalizada,Não sinalizada,1.264297336549036
3,Urbanização 2022 (%),Bahia,Nordeste,78.46611140893381,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,1.1495640046083093,3.5,False,False,False,Não sinalizada,Não sinalizada,1.1495640046083093
3,Urbanização 2022 (%),Amapá,Norte,25.22498676548438,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,-1.134178216512818,3.5,False,False,False,Não sinalizada,Não sinalizada,1.134178216512818
3,Urbanização 2022 (%),Acre,Norte,27.920111062030667,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,-1.0185726730835356,3.5,False,False,False,Não sinalizada,Não sinalizada,1.0185726730835356
3,Urbanização 2022 (%),Pará,Norte,31.2892072116572,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,-0.8740575604624992,3.5,False,False,False,Não sinalizada,Não sinalizada,0.8740575604624992
3,Urbanização 2022 (%),Mato Grosso do Sul,Centro-Oeste,35.94175274107273,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,-0.6744897501960817,3.5,False,False,False,Não sinalizada,Não sinalizada,0.6744897501960817
3,Urbanização 2022 (%),Rondônia,Norte,38.276742646363374,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,-0.574331929182435,3.5,False,False,False,Não sinalizada,Não sinalizada,0.574331929182435
3,Urbanização 2022 (%),Rio Grande do Sul,Sul,39.4798072128968,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,-0.5227272840190047,3.5,False,False,False,Não sinalizada,Não sinalizada,0.5227272840190047
3,Urbanização 2022 (%),Paraná,Sul,40.46149806341495,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,-0.48061831546451633,3.5,False,False,False,Não sinalizada,Não sinalizada,0.48061831546451633
3,Urbanização 2022 (%),Amazonas,Norte,62.30274883640401,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,0.45624744171866843,3.5,False,False,False,Não sinalizada,Não sinalizada,0.45624744171866843
3,Urbanização 2022 (%),Ceará,Nordeste,61.09238629106649,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,0.40432975466449356,3.5,False,False,False,Não sinalizada,Não sinalizada,0.40432975466449356
3,Urbanização 2022 (%),Espírito Santo,Sudeste,60.52047189451769,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,0.37979787140672316,3.5,False,False,False,Não sinalizada,Não sinalizada,0.37979787140672316
3,Urbanização 2022 (%),Minas Gerais,Sudeste,60.31499495899071,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,0.3709840765015232,3.5,False,False,False,Não sinalizada,Não sinalizada,0.3709840765015232
3,Urbanização 2022 (%),Rio Grande do Norte,Nordeste,45.9740702831798,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,-0.2441602389387919,3.5,False,False,False,Não sinalizada,Não sinalizada,0.2441602389387919
3,Urbanização 2022 (%),Alagoas,Nordeste,57.23615160349854,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,0.23891916220372186,3.5,False,False,False,Não sinalizada,Não sinalizada,0.23891916220372186
3,Urbanização 2022 (%),Paraíba,Nordeste,56.3735899137359,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,0.20192015885011982,3.5,False,False,False,Não sinalizada,Não sinalizada,0.20192015885011982
3,Urbanização 2022 (%),Santa Catarina,Sul,47.51756762963304,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,-0.17795295872279462,3.5,False,False,False,Não sinalizada,Não sinalizada,0.17795295872279462
3,Urbanização 2022 (%),Pernambuco,Nordeste,55.09536222643136,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,0.1470914421907218,3.5,False,False,False,Não sinalizada,Não sinalizada,0.1470914421907218
3,Urbanização 2022 (%),Piauí,Nordeste,51.666203832268806,33.615479976364966,51.666203832268806,61.69756756373525,28.08208758737028,1.5,-8.507651404690456,103.82069894479068,15.724451091196073,0.0,3.5,False,False,False,Não sinalizada,Não sinalizada,0.0
4,Mudança na urbanização (p.p.),Amazonas,Norte,43.60335805422935,-2.48873092415807,2.6285995000229185,10.903047334250592,13.391778258408662,1.5,-22.57639831177106,30.990714721863583,5.441930063650336,5.078539109896808,3.5,True,True,True,Ambos os critérios,Superior,5.078539109896808
4,Mudança na urbanização (p.p.),Rio Grande do Norte,Nordeste,-34.11834404104046,-2.48873092415807,2.6285995000229185,10.903047334250592,13.391778258408662,1.5,-22.57639831177106,30.990714721863583,5.441930063650336,-4.55453055801599,3.5,True,True,True,Ambos os critérios,Inferior,4.55453055801599
4,Mudança na urbanização (p.p.),Piauí,Nordeste,-28.39493747207902,-2.48873092415807,2.6285995000229185,10.903047334250592,13.391778258408662,1.5,-22.57639831177106,30.990714721863583,5.441930063650336,-3.8451537336508586,3.5,True,True,True,Ambos os critérios,Inferior,3.8451537336508586
4,Mudança na urbanização (p.p.),Alagoas,Nordeste,18.975762431563112,-2.48873092415807,2.6285995000229185,10.903047334250592,13.391778258408662,1.5,-22.57639831177106,30.990714721863583,5.441930063650336,2.026118254579916,3.5,False,False,False,Não sinalizada,Não sinalizada,2.026118254579916
4,Mudança na urbanização (p.p.),Mato Grosso do Sul,Centro-Oeste,16.60517370829117,-2.48873092415807,2.6285995000229185,10.903047334250592,13.391778258408662,1.5,-22.57639831177106,30.990714721863583,5.441930063650336,1.732300109716657,3.5,False,False,False,Não sinalizada,Não sinalizada,1.732300109716657
4,Mudança na urbanização (p.p.),Rondônia,Norte,16.05282095777359,-2.48873092415807,2.6285995000229185,10.903047334250592,13.391778258408662,1.5,-22.57639831177106,30.990714721863583,5.441930063650336,1.6638397906094289,3.5,False,False,False,Não sinalizada,Não sinalizada,1.6638397906094289
4,Mudança na urbanização (p.p.),Bahia,Nordeste,15.16271819536096,-2.48873092415807,2.6285995000229185,10.903047334250592,13.391778258408662,1.5,-22.57639831177106,30.990714721863583,5.441930063650336,1.5535176837748135,3.5,False,False,False,Não sinalizada,Não sinalizada,1.5535176837748135
4,Mudança na urbanização (p.p.),Acre,Norte,13.157339415654516,-2.48873092415807,2.6285995000229185,10.903047334250592,13.391778258408662,1.5,-22.57639831177106,30.990714721863583,5.441930063650336,1.304964796039718,3.5,False,False,False,Não sinalizada,Não sinalizada,1.304964796039718
4,Mudança na urbanização (p.p.),Paraná,Sul,-6.637413793206157,-2.48873092415807,2.6285995000229185,10.903047334250592,13.391778258408662,1.5,-22.57639831177106,30.990714721863583,5.441930063650336,-1.1484585281993485,3.5,False,False,False,Não sinalizada,Não sinalizada,1.1484585281993485
4,Mudança na urbanização (p.p.),Pará,Norte,11.830824252873985,-2.48873092415807,2.6285995000229185,10.903047334250592,13.391778258408662,1.5,-22.57639831177106,30.990714721863583,5.441930063650336,1.1405523779618947,3.5,False,False,False,Não sinalizada,Não sinalizada,1.1405523779618947
4,Mudança na urbanização (p.p.),Espírito Santo,Sudeste,-5.791473854047787,-2.48873092415807,2.6285995000229185,10.903047334250592,13.391778258408662,1.5,-22.57639831177106,30.990714721863583,5.441930063650336,-1.0436100991364645,3.5,False,False,False,Não sinalizada,Não sinalizada,1.0436100991364645
4,Mudança na urbanização (p.p.),Distrito Federal,Centro-Oeste,-5.105377147779052,-2.48873092415807,2.6285995000229185,10.903047334250592,13.391778258408662,1.5,-22.57639831177106,30.990714721863583,5.441930063650336,-0.9585731378729198,3.5,False,False,False,Não sinalizada,Não sinalizada,0.9585731378729198
