Ordem da relação,Relação,Variável X,Variável Y,UF retirada hipoteticamente,Região,N completo,N sem UF,Spearman completo (ρ),Spearman sem UF (ρ),Variação de ρ,Variação absoluta de ρ,Rank de influência na relação
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Rio de Janeiro,Sudeste,27,26,0.3345543345543345,0.3217094017094017,-0.012844932844932766,0.012844932844932766,18
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Roraima,Norte,27,26,0.3345543345543345,0.3217094017094017,-0.012844932844932766,0.012844932844932766,19
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),São Paulo,Sudeste,27,26,0.3345543345543345,0.32307692307692304,-0.011477411477411437,0.011477411477411437,20
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Maranhão,Nordeste,27,26,0.3345543345543345,0.3244444444444444,-0.010109890109890052,0.010109890109890052,21
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Espírito Santo,Sudeste,27,26,0.3345543345543345,0.3429059829059829,0.008351648351648422,0.008351648351648422,22
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Mato Grosso,Centro-Oeste,27,26,0.3345543345543345,0.3429059829059829,0.008351648351648422,0.008351648351648422,23
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Rondônia,Norte,27,26,0.3345543345543345,0.3278632478632478,-0.006691086691086701,0.006691086691086701,24
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Alagoas,Nordeste,27,26,0.3345543345543345,0.3285470085470085,-0.006007326007325953,0.006007326007325953,25
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Santa Catarina,Sul,27,26,0.3345543345543345,0.32991452991452985,-0.004639804639804623,0.004639804639804623,26
4,Crescimento × mudança da urbanização,Crescimento relativo (%),Mudança na urbanização (p.p.),Mato Grosso do Sul,Centro-Oeste,27,26,0.3345543345543345,0.3333333333333333,-0.0012210012210011612,0.0012210012210011612,27
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Ceará,Nordeste,27,26,-0.3141505150324065,-0.44896564171306075,-0.13481512668065426,0.13481512668065426,1
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Piauí,Nordeste,27,26,-0.3141505150324065,-0.42092666028086656,-0.10677614524846007,0.10677614524846007,2
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Bahia,Nordeste,27,26,-0.3141505150324065,-0.24517011813272244,0.06898039689968405,0.06898039689968405,3
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Rio Grande do Norte,Nordeste,27,26,-0.3141505150324065,-0.3764102564102564,-0.0622597413778499,0.0622597413778499,4
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Amazonas,Norte,27,26,-0.3141505150324065,-0.2622670580304018,0.051883457002004696,0.051883457002004696,5
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Goiás,Centro-Oeste,27,26,-0.3141505150324065,-0.34843563511470593,-0.03428512008229945,0.03428512008229945,6
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Rio Grande do Sul,Sul,27,26,-0.3141505150324065,-0.3470678799228916,-0.032917364890485135,0.032917364890485135,7
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Sergipe,Nordeste,27,26,-0.3141505150324065,-0.28175756951375636,0.03239294551865013,0.03239294551865013,8
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Minas Gerais,Sudeste,27,26,-0.3141505150324065,-0.2827833859076171,0.031367129124789395,0.031367129124789395,9
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Pernambuco,Nordeste,27,26,-0.3141505150324065,-0.29167379465441035,0.02247672037799614,0.02247672037799614,10
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Rio de Janeiro,Sudeste,27,26,-0.3141505150324065,-0.2923576722503176,0.021792842782088873,0.021792842782088873,11
5,Crescimento × mudança da presença em TI,Crescimento relativo (%),Mudança na presença em TI (p.p.),Alagoas,Nordeste,27,26,-0.3141505150324065,-0.29372542744213187,0.020425087590274615,0.020425087590274615,12
